	Tax.richness	MGE.nearARG.percell	ARG.percell	ARG.PC1	Efflux	Inactivation	Target.alteration	Air_temperature_of_sampling_month	pH	FM	Population	DO	Sludge_Age	BOD.removal.percentage	COD.removal.percentage	NH4.Nremoval.percentage	TNremoval.percentage	TPremoval.percentage
USCG4BC	1105	0.027027254	3.315108172	0.009252867	0.521070882	1.953765221	0.770526221	23	7.8	0.249562305	9568133	5.4	18.6	0.984810127	NA	0.993251534	0.498316498	0.57254902
USCG5C	1058	0.076099702	3.474689438	0.026596109	0.543417857	2.079705199	0.78114802	23	7.19	NA	9568133	6.8	11	0.961165049	NA	0.9808	0.929906542	NA
USDA2C	1138	0.023117326	4.140834116	0.007655443	0.708778045	2.264660685	1.06912752	28	7.2	0.1952	6937652	4.9	6.5	0.992786885	0.946308725	0.995564516	NA	NA
USDA2G	1062	0.118886732	4.005785117	0.011848193	0.706672586	2.154671932	1.061660229	28	7.2	0.1952	6937652	4.9	6.5	0.992786885	0.946308725	0.995564516	NA	NA
USDA2J	1107	0.102998532	4.795593778	0.108592199	0.898040552	2.680060015	1.171319564	28	7.2	0.1952	6937652	4.9	6.5	0.992786885	0.946308725	0.995564516	NA	NA
USDC1C	987	0.119545536	2.930837872	-0.026211046	0.466508034	1.613918199	0.756564807	23	7.53	0.212477172	6056296	0.83	2.5	0.991894396	NA	NA	NA	0.98816568
USDC2C	1110	0.054239823	3.558198261	0.082031904	0.624793963	1.966017772	0.938233742	23	7.53	0.183346341	6056296	0.73	2.5	0.991894396	NA	NA	NA	0.98816568
USDC4C	880	0.100494531	2.749167844	-0.039871991	0.385665847	1.526335604	0.712365876	23	7.53	0.206832855	6056296	NA	2.5	0.991894396	NA	NA	NA	0.98816568
USFT1C	1157	0.069198581	3.996702717	0.073026494	0.782766445	1.983205331	1.171543907	28	NA	0.423964876	307025.8442	5.97	6	0.987903226	NA	NA	NA	NA
USFT2C	1120	0.167536782	4.780957076	0.065520246	0.836918589	2.524472831	1.243983212	28	NA	0.267413366	307025.8442	3.1	4.405	0.986574586	0.912350598	0.994813278	0	0.657894737
USFT4C	1066	0.12771563	4.232505685	0.110006665	0.735843503	2.286643443	1.158066592	25	7.1	0.12945019	307025.8442	2	12	0.990517241	NA	0.925373134	NA	0.974468085
USFT5C	1057	0.083495301	4.390928717	0.073282437	0.744683342	2.289588401	1.298690828	26	7.3	0.200793651	307025.8442	1.5	14.62	NA	NA	NA	NA	NA
USHI1C	1123	0.232777238	3.102891069	-0.010722834	0.415035812	1.688004268	0.900166711	26	6.65	NA	993693	1.35	10	NA	NA	NA	NA	NA
USHI4C	1091	0.075958718	5.797049354	0.039544196	0.786137448	3.412297981	1.549977646	26	NA	0.540230065	993693	2	6.5	0.965406562	NA	NA	NA	NA
USHS3A	1097	0.092108183	4.430195297	0.052279941	0.788336462	2.588560531	0.994793861	27	6	0.021954545	6448841	4	NA	0.937888199	NA	0.982421875	NA	NA
USHS3B	1111	0.080640717	4.342945901	0.089157955	0.768119875	2.531060693	0.983089676	27	6	0.021954545	6448841	4	NA	0.937888199	NA	0.982421875	NA	NA
USHS3C	1111	0.062886974	4.469970073	0.052378325	0.826504459	2.588309636	0.99317071	27	6	0.021954545	6448841	4	NA	0.937888199	NA	0.982421875	NA	NA
USJC1O	1239	0.030358162	3.616805247	0.097843838	0.59498505	1.999279755	0.970885836	21	6.5	0.014196165	218444.4214	0.79	25	0.994805195	NA	0.991452991	0.521126761	0.608888889
USJC2O	1220	0.064957974	3.549686805	0.10977283	0.58556834	1.976891792	0.939230505	21	6.5	0.009605788	218444.4214	0.54	25	0.994805195	NA	0.991452991	0.521126761	0.608888889
USKN1AA	1190	0.080281703	4.217619739	0.014864508	0.716652098	2.288304547	1.141223111	26	7.2	0.075547523	857933	4.69	14.1	0.911764706	NA	0.940449438	NA	NA
USKN1AB	1059	0.128894921	4.298387573	0.079332966	0.729068474	2.233606901	1.279964445	26	7.2	0.075547523	857933	4.69	14.1	0.911764706	NA	0.940449438	NA	NA
USKN1AC	1165	0.182949229	3.044538589	-0.016760524	0.401402612	1.61600041	0.934880698	26	7.2	0.075547523	857933	4.69	14.1	0.911764706	NA	0.940449438	NA	NA
USKP1O	1057	0.044597224	5.320068943	0.059163658	0.742009632	3.114831158	1.419363156	23	6.9	0.391269841	338823.6686	1	8	0.853448276	NA	0.8125	0.6	0.638888889
USKP2O	1095	0.041494344	5.215055707	0.050448724	0.709450087	3.05890802	1.405185038	23	6.9	0.586904762	338823.6686	1	8	0.853448276	NA	0.8125	0.6	0.638888889
USMD1C	1137	0.087471157	4.79878911	0.062748222	0.847476586	2.801800027	1.080755893	22	4.19	0.171858752	6056296	NA	9	0.945	NA	NA	0.251174557	0.802608696
USMD2C	1166	0.10337088	4.374311788	0.060376228	0.764945174	2.564647177	0.977098926	22	6.19	0.215925099	6056296	NA	9	0.945	NA	NA	0.251174557	0.802608696
USMD3C	1106	0.024056273	4.445351683	0.056196637	0.798927801	2.615256529	0.976633872	22	6.06	0.255184207	6056296	NA	9	0.945	NA	NA	0.251174557	0.802608696
USMD4C	1122	0.095164274	3.654017795	-0.035878995	0.626863701	1.845060545	1.088885238	22	6.17	0.24767879	6056296	NA	9	0.945	NA	NA	0.251174557	0.802608696
USMI1C	1335	0.111657873	4.045932661	0.042849896	0.684054614	2.118006708	1.167538948	21	7	0.566396954	383354.943	2	10	0.981764706	NA	NA	NA	NA
USMI4C	1190	0.079322679	3.502868055	0.041687262	0.548194288	1.948159255	0.941844321	21	7.7	0.04542634	383354.943	7.5	30	0.989351852	NA	NA	NA	NA
USNO1C	1172	0.110337233	3.730937115	0.01353275	0.534372409	1.986383834	1.101763158	NA	6.94	0.199930691	1341308	2.78	10	0.98	NA	0.969230769	NA	NA
USNO2C	1308	0.05440238	3.059714634	0.052538587	0.516880738	1.651315249	0.844823054	NA	7.37	0.011062491	1341308	0.44	65	0.972413793	NA	NA	NA	NA
USNO2D11	867	0.010994377	2.687926195	0.110961353	0.443328614	1.473039281	0.730031618	NA	7.46	0.009926194	1341308	0.23	65	0.972413793	NA	NA	NA	NA
USNO2D12	989	0.050294104	2.655726255	0.053202882	0.443398256	1.435468184	0.740086017	NA	7.46	0.009926194	1341308	0.23	65	0.972413793	NA	NA	NA	NA
USNO2D13	888	0.039982268	2.756735813	0.069564419	0.470556072	1.46426008	0.774294983	NA	7.46	0.009926194	1341308	0.23	65	0.972413793	NA	NA	NA	NA
USOK01C1	872	0.291030095	3.706388222	0.053746673	0.587858273	1.874994535	1.05774324	NA	7.27	0.035062366	1341308	0.6	17.5	0.974526453	NA	0.962389381	NA	NA
USOK03A1	740	0.057501835	3.555156089	0.115574107	0.645003515	1.947671913	0.845740699	NA	7.29	0.052864766	1341308	0.65	24	0.994444444	NA	0.999196787	NA	NA
USOK05C	1160	0.142930422	4.944431019	0.098694366	0.844768604	2.74070349	1.237936235	NA	7.53	0.052530962	1341308	0.5	11	0.975757576	NA	0.938235294	NA	NA
USOK06C	1023	0.054912504	5.764321057	0.110161117	0.989863581	3.246437398	1.441151474	NA	7.03	0.082988238	1341308	3.76	23	0.973714286	NA	NA	NA	NA
USOK11C	1150	0.251047083	4.206682969	0.060684423	0.710071802	2.351465147	1.022757486	NA	7.01	0.136416863	1341308	2.73	17.5	0.98	NA	0.983333333	NA	NA
USOP1AC	1108	0	4.956885083	0.156273805	0.930599869	2.641740882	1.26433585	26	6.7	0.039917018	167400.578	1.37	15	0.991162791	NA	0.985384615	NA	NA
USOP1BC	1014	0.01117233	5.401458169	0.115221708	1.006934822	2.949148244	1.318128494	26	6.7	0.039917018	167400.578	1.37	15	0.991162791	NA	0.985384615	NA	NA
USOP1CC	1002	0.006137326	5.285043127	0.148804669	0.962261699	2.851347148	1.352867885	26	6.7	0.039917018	167400.578	1.37	15	0.991162791	NA	0.985384615	NA	NA
USPT1C	845	0.091669898	2.182116315	-0.196006584	0.157079927	1.542957379	0.383222732	19	NA	0.867581285	2343984	0.7	4	0.965079365	NA	NA	NA	NA
USPT2C	1237	0.136384872	4.595784765	-0.027272322	0.710988647	2.348302202	1.396133515	19	NA	0.875367271	2343984	0.61	4	0.965079365	NA	NA	NA	NA
USPT3C	764	0.066576474	3.287383374	-0.066254629	0.485423041	2.242680725	0.518344258	19	NA	0.795788428	2343984	0.77	4	0.965079365	NA	NA	NA	NA
USPT4C	783	0.078736732	3.06310204	-0.087603466	0.439081552	2.124200757	0.454722652	19	NA	0.945687633	2343984	0.85	4	0.965079365	NA	NA	NA	NA
USRE3C	1199	0.160855617	3.459732859	0.033152971	0.61078885	1.932001646	0.848320234	25	6.9	0.095821033	1244021	0.5	20.7	0.995744681	NA	0.998637602	0.963671128	0.912981455
USRE6C	1217	0.123589301	3.391275286	0.021173566	0.58951418	1.903594394	0.811405165	25	6.8	0.25311828	1244021	1.5	22	0.996962617	NA	0.9990625	0.939958592	0.986
USRE8C	1210	0.189284478	4.289578155	0.024717223	0.737274735	2.248425764	1.167137727	24	7	0.064482096	1244021	0.17	14	0.983054393	NA	0.959065934	NA	0.816876122
USSD2AC	855	0.110504001	4.115935072	0.005544221	0.737848952	2.473759109	0.86076069	23	NA	0.420197852	3250477	1.5	4.7	0.975	NA	0.540178571	NA	0.960655738
USSD2BB	866	0.067407629	4.236633712	0.007131202	0.784153202	2.555504262	0.856029995	23	NA	0.404745031	3250477	1.25	4.7	0.975	NA	0.540178571	NA	0.960655738
USSD2BC	864	0.083537449	4.258359874	0.01858607	0.790044741	2.552079708	0.874606966	23	NA	0.404745031	3250477	1.25	4.7	0.975	NA	0.540178571	NA	0.960655738
USSF3C	816	0.027351898	3.07851945	0.010930901	0.402442123	1.795711625	0.856083205	20	7.11	0.7086	4572807	1	6.6	0.985279188	0.96023166	NA	NA	NA
USSF4C	1120	0.074640929	3.036929205	0.047192756	0.590849028	1.606338942	0.783595328	21	6.5	0.319615385	4572807	4.2	17	0.990685921	NA	NA	NA	NA
USTE3A	1052	0.072613309	4.945973058	0.112500025	0.683822725	2.824379897	1.343488754	31	7.2	0.273805902	4459692	1.6	18	0.975	NA	NA	NA	NA
USTE3B	1085	0.086762169	4.673581854	0.133613574	0.70912381	2.577986331	1.302385077	31	7.2	0.273805902	4459692	1.6	18	0.975	NA	NA	NA	NA
USTE3C	1110	0.094559085	4.686600315	0.107037677	0.721897609	2.606353425	1.268433163	31	7.2	0.273805902	4459692	1.6	18	0.975	NA	NA	NA	NA
USTF1AC	1152	0.165399172	4.234055468	0.101752672	0.745504372	2.395099027	0.985186154	28	7.05	0.049994243	880248	3.2	19.6	0.988023952	NA	0.998253275	NA	0.496969697
USTF1BC	1188	0.134634766	4.292664668	0.085387715	0.745758012	2.417297834	1.029314147	28	7.05	0.049994243	880248	3.2	19.6	0.988023952	NA	0.998253275	NA	0.496969697
USTF1CC	1290	0.127023337	4.601770989	0.094447347	0.807708386	2.566625371	1.121681484	28	7.06	0.046991342	880248	3.5	19.6	0.988023952	NA	0.998253275	NA	0.496969697
USTF1DC	1248	0.147665968	4.559659037	0.094492931	0.789392664	2.565440391	1.095892777	28	7.06	0.046991342	880248	3.5	19.6	0.988023952	NA	0.998253275	NA	0.496969697
USVA2C	1135	0.149571948	4.754113565	0.068862506	0.761589331	2.544306485	1.268764624	23	6.52	0.426469235	1716481	2.68	6.9	0.95	0.880368098	0.849473684	NA	0.75
USVA3C	934	0.076182134	4.916405129	-0.007021408	0.579496613	3.297849888	0.898958723	23	6.75	0.338574399	1716481	5.54	1.9	0.928571429	NA	NA	NA	NA
USVA5C	1037	0.09537698	3.796534401	-0.014436265	0.606099735	2.21649297	0.903229952	21	6.87	0.166999667	1716481	0.46	16.7	0.968911917	NA	NA	0.813172043	0.826027397
USVA6C	1134	0.359326336	3.964489465	0.011110935	0.471075746	2.418593018	0.939767637	22	6.81	0.250282839	1716481	1.38	9.1	0.957446809	NA	0.966666667	0	0.908108108
USVA8C	1039	0.148536493	3.842883876	0.073637807	0.599421872	2.43319276	0.745034405	24	6.52	0.237621289	1716481	1.62	7.8	0.987804878	0.95505618	0.930357143	0.742903226	0.92244898
USVA9C	1200	0.088586612	3.885441704	0.041394572	0.397097993	2.55886041	0.823451987	24	7.06	0.257088884	1716481	2.87	7.9	0.993197279	NA	NA	0.765806452	0.808955224
USVD1AC	1145	0.065475894	2.928925636	0.074478789	0.597425693	1.574266114	0.695491301	28	NA	0.051556608	10670	4.6	30	0.981135135	NA	0.968526466	NA	NA
USVD1BC	1120	0.02037888	1.56825877	0.001512291	0.367083222	0.696513915	0.480786662	28	NA	0.051556608	10670	4.6	30	0.981135135	NA	0.968526466	NA	NA
USVD1CC	1066	0.077383975	2.995202474	0.085935941	0.567726503	1.625073614	0.734240344	28	NA	0.051556608	10670	4.6	30	0.981135135	NA	0.968526466	NA	NA
USVD1DC	1188	0.088302839	2.41299485	-0.037619253	0.413673852	1.186461763	0.776493524	28	NA	0.051556608	10670	4.6	30	0.981135135	NA	0.968526466	NA	NA
USWR1AC	1303	0.319047129	4.117483301	0.030997013	0.76570425	1.999887832	1.17994139	27	6.49	0.158771456	205176.9613	4.9	6	0.891891892	NA	0.949557522	NA	0.346666667
USWR1BC	1276	0.243092872	4.089640774	0.023138809	0.740285649	1.954685997	1.210762386	27	6.42	0.14786029	205176.9613	1.4	6	0.891891892	NA	0.949557522	NA	0.346666667
USWR2AC	1254	0.264166959	3.747661124	0.039167283	0.680044395	1.983029141	0.966306888	27	6.73	0.258655462	205176.9613	6.2	NA	0.940740741	NA	0.986231884	NA	NA
USWR2BC	1215	0.300548269	3.584690141	0.052816234	0.649110385	1.885412008	0.948547464	27	6.73	0.258655462	205176.9613	6.2	NA	0.940740741	NA	0.986231884	NA	NA
UYUC05	1372	0.101988219	4.560799246	0.098646016	0.692956705	2.472492322	1.342201085	21	6.3	NA	3432000	2.58	NA	NA	NA	NA	NA	NA
UYUC06	1428	0.101181096	4.833873827	0.07904836	0.746890455	2.673274151	1.360852361	21	6.3	NA	3432000	2.58	NA	NA	NA	NA	NA	NA
UYUM08	878	0.190272783	3.14539851	-0.032935352	0.439968601	1.64794659	0.976323384	21	7.4	NA	3432000	3.1	15	NA	NA	NA	NA	NA
